Product_ID,Price_Naira,English_Name,Yoruba_Name,Igbo_Name,Hausa_Name,Pidgin_Name
101,3600,Eggs,Eyin,Akwa,Qwai,Eggs
102,500,Fresh Pepper,Ata Rodo,Ose Oyibo,Attarugu,Fresh Pepper
103,1750,Brooms,Igbale,Aziza,Tsin tsiya,Sweeper
104,1000,Tomatoes,Tomati,Otuboala,Tumatir,Tomato
105,1500,Palm Oil,Epo Pupa,Mmani nri,Man Ja,Red Oil
106,800,Smoked Fish,Eja  Kika,Anwuru azu,Kyafaffen kifi,Smoked fish
107,1500,Onions,Alubosa,Yabas,Albasa,Onion
108,5000,Rice,Iresi,Osikapa,Skinkafa,Rice
109,3800,Soap,Ose,Ncha,Sabulu,Soap
110,800,Salt,Iyo,Nnu,Gishiri,Salt
111,1200,Sugar,Suga,Shuga,Sukari,Sugar
112,12500,Pans,Agbada,Pan ighe,Kwanon rufi,Fry pan
113,15000,Pots,Ikoko,Ite,Tukunya,Pot
114,1800,Toothpaste,Eyin eyin,Ihe ntacha eze,Man goge baki,T-paste
115,8500,Bucket,Garawa,Iwu,Guga,Bucket
116,4200,Chicken,Adie,Okuko,Kaza,Chicken
117,6000,Long Pepper,Sombo,Ose Ogologo,Tatasai,Long Sombo
118,1400,Milk,Wara,Mmiri ara,Madara,Milk
119,2000,Spaghetti,Spaghetti,Spaghetti,Spaghetti,Spag
120,200,Garri,Garri,Garri,Garri,Garri
